Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
United States;GDP Constant Prices;1988-06-30T00:00:00;8845.28;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1988-09-30T00:00:00;8897.107;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1988-12-31T00:00:00;9015.661;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1989-03-31T00:00:00;9107.314;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1989-06-30T00:00:00;9176.827;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1989-09-30T00:00:00;9244.816;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1989-12-31T00:00:00;9263.033;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1990-03-31T00:00:00;9364.259;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1990-06-30T00:00:00;9398.243;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1990-09-30T00:00:00;9404.494;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1990-12-31T00:00:00;9318.876;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1991-03-31T00:00:00;9275.276;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1991-06-30T00:00:00;9347.597;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1991-09-30T00:00:00;9394.834;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1991-12-31T00:00:00;9427.581;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1992-03-31T00:00:00;9540.444;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1992-06-30T00:00:00;9643.893;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1992-09-30T00:00:00;9739.185;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1992-12-31T00:00:00;9840.753;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1993-03-31T00:00:00;9857.185;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1993-06-30T00:00:00;9914.565;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1993-09-30T00:00:00;9961.873;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1993-12-31T00:00:00;10097.362;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1994-03-31T00:00:00;10195.338;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1994-06-30T00:00:00;10333.495;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1994-09-30T00:00:00;10393.898;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1994-12-31T00:00:00;10512.962;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1995-03-31T00:00:00;10550.251;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1995-06-30T00:00:00;10581.723;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1995-09-30T00:00:00;10671.738;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1995-12-31T00:00:00;10744.203;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1996-03-31T00:00:00;10824.674;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1996-06-30T00:00:00;11005.217;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1996-09-30T00:00:00;11103.935;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1996-12-31T00:00:00;11219.238;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1997-03-31T00:00:00;11291.665;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1997-06-30T00:00:00;11479.33;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1997-09-30T00:00:00;11622.911;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1997-12-31T00:00:00;11722.722;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1998-03-31T00:00:00;11839.876;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1998-06-30T00:00:00;11949.492;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1998-09-30T00:00:00;12099.191;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1998-12-31T00:00:00;12294.737;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1999-03-31T00:00:00;12410.778;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1999-06-30T00:00:00;12514.408;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1999-09-30T00:00:00;12679.977;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;1999-12-31T00:00:00;12888.281;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;2000-03-31T00:00:00;12935.252;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;2000-06-30T00:00:00;13170.749;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;2000-09-30T00:00:00;13183.89;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
United States;GDP Constant Prices;2000-12-31T00:00:00;13262.25;Quarterly;UNITEDSTAGDPCONPRI;2021-08-26T13:53:00
